timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer-x,accelerometer-y,accelerometer-z,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6,spectrometer_spectrometer7
2025-02-27 23:46:54,20252025123456.0,12.0,8.0,9.0,18.0,10.0,14.0,4.0,12.0,9.0,19.0,17.0,17.0,9.0,11.0,13.0
2025-02-27 23:46:55,20252025123456.0,12.0,1.0,9.0,7.0,6.0,8.0,3.0,6.0,18.0,18.0,13.0,7.0,13.0,2.0,4.0
2025-02-27 23:46:56,20252025123456.0,2.0,6.0,1.0,16.0,2.0,9.0,11.0,11.0,10.0,6.0,14.0,3.0,9.0,1.0,10.0
2025-02-27 23:46:57,20252025123456.0,3.0,15.0,3.0,4.0,12.0,15.0,16.0,3.0,13.0,7.0,10.0,14.0,10.0,16.0,4.0
2025-02-27 23:46:58,20252025123456.0,15.0,13.0,2.0,15.0,14.0,16.0,6.0,3.0,12.0,6.0,6.0,15.0,11.0,2.0,2.0
2025-02-27 23:46:59,20252025123456.0,3.0,13.0,4.0,15.0,5.0,7.0,16.0,6.0,13.0,17.0,6.0,8.0,4.0,16.0,14.0
2025-02-27 23:47:00,20252025123456.0,13.0,1.0,6.0,10.0,8.0,11.0,1.0,18.0,8.0,4.0,10.0,13.0,11.0,7.0,14.0
2025-02-27 23:47:01,20252025123456.0,17.0,5.0,11.0,9.0,19.0,16.0,8.0,13.0,5.0,8.0,6.0,13.0,1.0,11.0,3.0
2025-02-27 23:47:02,20252025123456.0,9.0,13.0,6.0,15.0,11.0,18.0,10.0,14.0,13.0,17.0,7.0,15.0,5.0,9.0,9.0
2025-02-27 23:47:03,20252025123456.0,3.0,12.0,5.0,10.0,17.0,6.0,14.0,14.0,5.0,8.0,14.0,16.0,9.0,11.0,14.0
2025-02-27 23:47:04,20252025123456.0,11.0,8.0,5.0,12.0,16.0,12.0,5.0,16.0,11.0,12.0,10.0,5.0,10.0,4.0,16.0
2025-02-27 23:47:05,20252025123456.0,14.0,17.0,7.0,1.0,11.0,10.0,3.0,3.0,19.0,12.0,13.0,15.0,3.0,15.0,4.0
2025-02-27 23:47:06,20252025123456.0,11.0,14.0,5.0,4.0,2.0,11.0,9.0,10.0,6.0,2.0,8.0,15.0,14.0,11.0,1.0
2025-02-27 23:47:07,20252025123456.0,16.0,15.0,14.0,7.0,15.0,14.0,12.0,12.0,8.0,11.0,18.0,13.0,6.0,9.0,18.0
2025-02-27 23:47:08,20252025123456.0,10.0,3.0,5.0,4.0,3.0,5.0,15.0,7.0,19.0,3.0,19.0,16.0,8.0,16.0,13.0
2025-02-27 23:47:09,20252025123456.0,5.0,17.0,8.0,1.0,19.0,9.0,11.0,5.0,13.0,12.0,19.0,8.0,12.0,6.0,4.0
2025-02-27 23:47:10,20252025123456.0,5.0,19.0,9.0,12.0,14.0,9.0,11.0,11.0,6.0,7.0,14.0,5.0,11.0,9.0,17.0
